[01/16/17 11:53:28] Server Open OK # Port:5000
[01/16/17 12:58:35] Frame : 25  Loop : 42010
[01/16/17 12:58:36] Frame : 25  Loop : 53657
[01/16/17 12:58:37] Frame : 27  Loop : 45141
[01/16/17 12:58:38] Frame : 25  Loop : 29416
[01/16/17 12:58:39] Frame : 25  Loop : 49554
[01/16/17 12:58:40] Frame : 24  Loop : 52576
[01/16/17 12:58:41] Frame : 28  Loop : 34528
[01/16/17 12:58:42] Frame : 25  Loop : 34237
[01/16/17 12:58:43] Frame : 23  Loop : 43284
[01/16/17 12:58:44] Frame : 28  Loop : 46577
[01/16/17 12:58:45] Frame : 25  Loop : 37052
[01/16/17 12:58:46] Frame : 25  Loop : 35206
[01/16/17 12:58:47] Frame : 25  Loop : 55327
[01/16/17 12:58:48] Frame : 26  Loop : 35469
[01/16/17 12:58:49] Frame : 25  Loop : 38125
[01/16/17 12:58:50] Frame : 21  Loop : 41504
[01/16/17 12:58:51] Frame : 30  Loop : 53628
[01/16/17 12:58:52] Frame : 26  Loop : 37521
[01/16/17 12:58:53] Frame : 25  Loop : 33297
[01/16/17 12:58:54] Frame : 23  Loop : 46681
[01/16/17 12:58:55] Frame : 28  Loop : 40440
[01/16/17 12:58:56] Frame : 25  Loop : 31379
[01/16/17 12:58:57] Frame : 18  Loop : 30984
[01/16/17 12:58:58] Frame : 33  Loop : 45365
[01/16/17 12:58:59] Frame : 25  Loop : 48844
[01/16/17 12:59:01] Frame : 14  Loop : 8999
[01/16/17 12:59:01] Frame : 1  Loop : 1
[01/16/17 12:59:03] Frame : 62  Loop : 37414
[01/16/17 12:59:04] Frame : 6  Loop : 6
[01/16/17 12:59:05] Frame : 52  Loop : 51944
[01/16/17 12:59:06] Frame : 19  Loop : 13383
[01/16/17 12:59:07] Frame : 23  Loop : 27
[01/16/17 12:59:08] Frame : 41  Loop : 32232
[01/16/17 12:59:09] Frame : 22  Loop : 32721
[01/16/17 12:59:10] Frame : 26  Loop : 46
[01/16/17 12:59:11] Frame : 31  Loop : 38757
[01/16/17 12:59:12] Frame : 22  Loop : 30406
[01/16/17 12:59:13] Frame : 30  Loop : 22982
[01/16/17 12:59:14] Frame : 25  Loop : 50147
[01/16/17 12:59:15] Frame : 18  Loop : 12514
[01/16/17 12:59:16] Frame : 34  Loop : 44579
[01/16/17 12:59:17] Frame : 23  Loop : 50199
[01/16/17 12:59:18] Frame : 28  Loop : 5063
[01/16/17 12:59:19] Frame : 25  Loop : 56683
[01/16/17 12:59:20] Frame : 22  Loop : 40719
[01/16/17 12:59:21] Frame : 31  Loop : 37311
[01/16/17 12:59:22] Frame : 25  Loop : 44273
[01/16/17 12:59:24] Frame : 20  Loop : 15309
[01/16/17 12:59:25] Frame : 34  Loop : 25902
[01/16/17 12:59:26] Frame : 25  Loop : 41307
[01/16/17 12:59:27] Frame : 25  Loop : 30580
[01/16/17 12:59:28] Frame : 24  Loop : 53402
[01/16/17 12:59:29] Frame : 29  Loop : 35195
[01/16/17 12:59:30] Frame : 25  Loop : 37779
[01/16/17 12:59:31] Frame : 20  Loop : 34157
[01/16/17 12:59:32] Frame : 33  Loop : 52209
[01/16/17 12:59:33] Frame : 28  Loop : 59152
[01/16/17 12:59:34] Frame : 25  Loop : 22249
[01/16/17 12:59:35] Frame : 25  Loop : 48391
[01/16/17 12:59:36] Frame : 20  Loop : 39584
[01/16/17 12:59:37] Frame : 31  Loop : 38101
[01/16/17 12:59:38] Frame : 25  Loop : 50260
[01/16/17 12:59:39] Frame : 16  Loop : 14336
[01/16/17 12:59:40] Frame : 37  Loop : 38230
[01/16/17 12:59:41] Frame : 24  Loop : 36619
[01/16/17 12:59:42] Frame : 9  Loop : 9
[01/16/17 12:59:43] Frame : 44  Loop : 15525
[01/16/17 12:59:44] Connect Session # IP:127.0.0.1 / SessionID:3 
[01/16/17 12:59:44] Frame : 22  Loop : 41640
[01/16/17 12:59:45] Frame : 29  Loop : 8416
[01/16/17 12:59:46] Frame : 25  Loop : 52693
[01/16/17 12:59:47] Frame : 24  Loop : 32090
[01/16/17 12:59:48] Frame : 27  Loop : 21031
[01/16/17 12:59:49] Frame : 26  Loop : 54697
[01/16/17 12:59:50] Frame : 22  Loop : 16007
[01/16/17 12:59:51] Frame : 29  Loop : 32257
[01/16/17 12:59:52] Frame : 26  Loop : 57942
[01/16/17 12:59:53] Frame : 18  Loop : 2633
[01/16/17 12:59:54] Frame : 33  Loop : 46962
[01/16/17 12:59:56] Frame : 25  Loop : 45463
[01/16/17 12:59:57] Frame : 27  Loop : 8072
[01/16/17 12:59:58] Frame : 25  Loop : 51518
[01/16/17 12:59:59] Frame : 24  Loop : 29225
[01/16/17 13:00:00] Frame : 28  Loop : 22426
[01/16/17 13:00:01] Frame : 25  Loop : 52361
[01/16/17 13:00:02] Frame : 16  Loop : 14719
[01/16/17 13:00:03] Frame : 36  Loop : 3506
[01/16/17 13:00:03] Connect Session # IP:127.0.0.1 / SessionID:4 
[01/16/17 13:00:04] Frame : 25  Loop : 49053
[01/16/17 13:00:05] Frame : 22  Loop : 2383
[01/16/17 13:00:06] Frame : 29  Loop : 18174
[01/16/17 13:00:07] Frame : 25  Loop : 50506
[01/16/17 13:00:08] Frame : 22  Loop : 22
[01/16/17 13:00:09] Frame : 30  Loop : 19811
[01/16/17 13:00:10] Frame : 21  Loop : 38840
[01/16/17 13:00:11] Frame : 19  Loop : 4444
[01/16/17 13:00:12] Frame : 36  Loop : 37763
[01/16/17 13:00:13] Frame : 21  Loop : 28099
[01/16/17 13:00:14] Frame : 11  Loop : 11
[01/16/17 13:00:15] Frame : 46  Loop : 50023
[01/16/17 13:00:16] Frame : 18  Loop : 9936
[01/16/17 13:00:17] Frame : 33  Loop : 13640
[01/16/17 13:00:18] Frame : 25  Loop : 58271
[01/16/17 13:00:19] Frame : 13  Loop : 426
[01/16/17 13:00:20] Frame : 39  Loop : 53174
[01/16/17 14:03:46] Server Open OK # Port:5000
[01/16/17 14:03:47] Frame : 25  Loop : 51400
[01/16/17 14:03:48] Frame : 26  Loop : 51268
[01/16/17 14:03:49] Frame : 25  Loop : 54986
[01/16/17 14:03:50] Frame : 25  Loop : 40805
[01/16/17 14:03:51] Frame : 25  Loop : 33907
[01/16/17 14:03:52] Frame : 26  Loop : 3252
[01/16/17 14:03:53] Frame : 25  Loop : 29493
[01/16/17 14:03:54] Connect Session # IP:127.0.0.1 / SessionID:1 
[01/16/17 14:03:54] Frame : 25  Loop : 50999
[01/16/17 14:03:55] Frame : 25  Loop : 52739
[01/16/17 14:03:56] Frame : 25  Loop : 51011
[01/16/17 14:03:57] Frame : 25  Loop : 53872
[01/16/17 14:03:58] Frame : 25  Loop : 55063
[01/16/17 14:03:59] Frame : 25  Loop : 48109
[01/16/17 14:04:00] Frame : 25  Loop : 50068
[01/16/17 14:04:01] Frame : 26  Loop : 52766
[01/16/17 14:04:02] Frame : 25  Loop : 54138
[01/16/17 14:04:03] Frame : 26  Loop : 64460
[01/16/17 14:04:04] Frame : 25  Loop : 53872
[01/16/17 14:04:05] Frame : 25  Loop : 54044
[01/16/17 14:04:06] Frame : 25  Loop : 54229
[01/16/17 14:04:07] Frame : 25  Loop : 50940
[01/16/17 14:04:08] Frame : 25  Loop : 49358
[01/16/17 14:04:09] Frame : 26  Loop : 54837
[01/16/17 14:04:10] Frame : 25  Loop : 56173
[01/16/17 14:04:11] Frame : 26  Loop : 61158
[01/16/17 14:04:12] Frame : 25  Loop : 53278
[01/16/17 14:04:13] Frame : 25  Loop : 58457
[01/16/17 14:04:14] Frame : 25  Loop : 57377
[01/16/17 14:04:15] Frame : 25  Loop : 54087
[01/16/17 14:04:16] Frame : 25  Loop : 63950
[01/16/17 14:04:17] Frame : 25  Loop : 53835
[01/16/17 14:04:18] Frame : 25  Loop : 46280
[01/16/17 14:04:19] Frame : 25  Loop : 48093
[01/16/17 14:04:20] Frame : 26  Loop : 47763
[01/16/17 14:04:21] Frame : 26  Loop : 38619
[01/16/17 14:04:22] Frame : 25  Loop : 42170
[01/16/17 14:04:23] Frame : 25  Loop : 50877
[01/16/17 14:04:24] Frame : 25  Loop : 61070
[01/16/17 14:04:25] Frame : 25  Loop : 54734
[01/16/17 14:04:26] Frame : 25  Loop : 55728
[01/16/17 14:04:27] Frame : 25  Loop : 63437
[01/16/17 14:04:28] Frame : 25  Loop : 51844
[01/16/17 14:04:29] Frame : 25  Loop : 59139
[01/16/17 14:04:30] Frame : 25  Loop : 54775
[01/16/17 14:04:31] Frame : 25  Loop : 51230
[01/16/17 14:04:32] Frame : 25  Loop : 67010
[01/16/17 14:04:33] Frame : 25  Loop : 54696
[01/16/17 14:04:34] Frame : 25  Loop : 57917
[01/16/17 14:04:35] Frame : 25  Loop : 62628
[01/16/17 14:04:36] Frame : 25  Loop : 50479
[01/16/17 14:04:37] Frame : 25  Loop : 60748
[01/16/17 14:04:38] Frame : 25  Loop : 57922
[01/16/17 14:04:39] Frame : 25  Loop : 53559
[01/16/17 14:04:40] Frame : 26  Loop : 56937
[01/16/17 14:04:41] Frame : 25  Loop : 47979
[01/16/17 14:04:42] Frame : 25  Loop : 47123
[01/16/17 14:04:43] Frame : 25  Loop : 53929
[01/16/17 14:04:44] Frame : 25  Loop : 49637
[01/16/17 14:04:45] Frame : 25  Loop : 41161
[01/16/17 14:04:46] Frame : 25  Loop : 42073
[01/16/17 14:04:47] Frame : 25  Loop : 48881
[01/16/17 14:04:48] Frame : 25  Loop : 49118
[01/16/17 14:04:49] Frame : 25  Loop : 48370
[01/16/17 14:04:50] Frame : 25  Loop : 49821
[01/16/17 14:04:51] Frame : 25  Loop : 49860
[01/16/17 14:04:52] Frame : 25  Loop : 42912
[01/16/17 14:04:53] Frame : 25  Loop : 51862
[01/16/17 14:04:54] Frame : 25  Loop : 58570
[01/16/17 14:04:55] Frame : 26  Loop : 52767
[01/16/17 14:04:56] Frame : 25  Loop : 60054
[01/16/17 14:04:57] Frame : 26  Loop : 54011
